Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m), Horizontal Accuracy(m)
13/02/2024 2:33:39 PM (UTC+1030), 6052554.34, 330004.11, 0.16, 0.11
13/02/2024 2:33:40 PM (UTC+1030), 6052554.92, 330002.94, 0.14, 0.11
13/02/2024 2:33:41 PM (UTC+1030), 6052555.54, 330001.8, 0.06, 0.11
13/02/2024 2:33:42 PM (UTC+1030), 6052556.13, 330000.75, 0.16, 0.11
13/02/2024 2:33:43 PM (UTC+1030), 6052556.79, 329999.84, 0.09, 0.11
13/02/2024 2:33:44 PM (UTC+1030), 6052557.57, 329998.89, 0.12, 0.11
13/02/2024 2:33:45 PM (UTC+1030), 6052558.25, 329997.94, 0.12, 0.11
13/02/2024 2:33:46 PM (UTC+1030), 6052559.01, 329997.01, 0.06, 0.11
13/02/2024 2:33:47 PM (UTC+1030), 6052559.84, 329996.09, 0.11, 0.11
13/02/2024 2:33:48 PM (UTC+1030), 6052560.68, 329995.23, 0.08, 0.11
13/02/2024 2:33:49 PM (UTC+1030), 6052561.58, 329994.49, 0.08, 0.11
13/02/2024 2:33:50 PM (UTC+1030), 6052562.39, 329993.68, 0.12, 0.11
13/02/2024 2:33:51 PM (UTC+1030), 6052563.15, 329992.74, 0.05, 0.11
13/02/2024 2:33:52 PM (UTC+1030), 6052563.8, 329991.76, 0.11, 0.11
13/02/2024 2:33:53 PM (UTC+1030), 6052564.49, 329990.78, 0.09, 0.11
13/02/2024 2:33:54 PM (UTC+1030), 6052565.32, 329989.85, 0.07, 0.11
13/02/2024 2:33:55 PM (UTC+1030), 6052566.13, 329988.92, 0.15, 0.11
13/02/2024 2:33:56 PM (UTC+1030), 6052566.94, 329987.98, 0.08, 0.11
13/02/2024 2:33:57 PM (UTC+1030), 6052567.58, 329986.96, 0.13, 0.11
13/02/2024 2:33:58 PM (UTC+1030), 6052568.26, 329985.98, 0.15, 0.11
13/02/2024 2:33:59 PM (UTC+1030), 6052568.98, 329985.02, 0.09, 0.11
13/02/2024 2:34:00 PM (UTC+1030), 6052569.62, 329984.01, 0.15, 0.11
13/02/2024 2:34:01 PM (UTC+1030), 6052570.13, 329982.99, 0.08, 0.11
13/02/2024 2:34:02 PM (UTC+1030), 6052570.72, 329982, 0.17, 0.11
13/02/2024 2:34:03 PM (UTC+1030), 6052571.48, 329981.02, 0.11, 0.11
13/02/2024 2:34:04 PM (UTC+1030), 6052572.21, 329980.01, 0.09, 0.11
13/02/2024 2:34:05 PM (UTC+1030), 6052572.89, 329979, 0.14, 0.11
13/02/2024 2:34:06 PM (UTC+1030), 6052573.57, 329978.01, 0.08, 0.11
13/02/2024 2:34:07 PM (UTC+1030), 6052574.29, 329977.08, 0.16, 0.11
13/02/2024 2:34:08 PM (UTC+1030), 6052575.15, 329976.26, 0.15, 0.11
13/02/2024 2:34:09 PM (UTC+1030), 6052576.23, 329975.65, 0.14, 0.11
13/02/2024 2:34:10 PM (UTC+1030), 6052577.42, 329975.38, 0.2, 0.11
13/02/2024 2:34:11 PM (UTC+1030), 6052578.67, 329975.25, 0.2, 0.11
13/02/2024 2:34:12 PM (UTC+1030), 6052579.92, 329975.16, 0.17, 0.11
13/02/2024 2:34:13 PM (UTC+1030), 6052581.09, 329975.21, 0.25, 0.11
13/02/2024 2:34:14 PM (UTC+1030), 6052582.29, 329975.38, 0.26, 0.11
13/02/2024 2:34:15 PM (UTC+1030), 6052583.4, 329975.58, 0.27, 0.11
13/02/2024 2:34:16 PM (UTC+1030), 6052584.49, 329975.8, 0.42, 0.11
13/02/2024 2:34:17 PM (UTC+1030), 6052585.6, 329975.97, 0.48, 0.11
13/02/2024 2:34:18 PM (UTC+1030), 6052586.59, 329976.02, 0.59, 0.11
13/02/2024 2:34:19 PM (UTC+1030), 6052587.58, 329976.32, 0.52, 0.11
13/02/2024 2:34:20 PM (UTC+1030), 6052588.45, 329976.62, 0.59, 0.11
13/02/2024 2:34:21 PM (UTC+1030), 6052589.42, 329977.13, 0.62, 0.11
13/02/2024 2:34:22 PM (UTC+1030), 6052590.32, 329977.77, 0.77, 0.11
13/02/2024 2:34:23 PM (UTC+1030), 6052591.19, 329978.42, 0.92, 0.11
13/02/2024 2:34:24 PM (UTC+1030), 6052592.07, 329979.01, 0.97, 0.10
13/02/2024 2:34:25 PM (UTC+1030), 6052592.97, 329979.36, 1.02, 0.10
13/02/2024 2:34:26 PM (UTC+1030), 6052594.07, 329979.67, 0.97, 0.10
13/02/2024 2:34:27 PM (UTC+1030), 6052594.93, 329979.98, 1.16, 0.10
13/02/2024 2:34:28 PM (UTC+1030), 6052595.7, 329980.33, 1.42, 0.10
13/02/2024 2:34:29 PM (UTC+1030), 6052596.47, 329980.67, 1.66, 0.10
13/02/2024 2:34:30 PM (UTC+1030), 6052597.24, 329981.09, 1.83, 0.10
13/02/2024 2:34:31 PM (UTC+1030), 6052598.18, 329981.6, 1.83, 0.11
