Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m), Horizontal Accuracy(m)
16/9/2024 5:32:49 pm (UTC+1000), 6200485.23, 627785.5, 39.67, 0.03
16/9/2024 5:32:50 pm (UTC+1000), 6200486.4, 627786.17, 39.74, 0.02
16/9/2024 5:32:51 pm (UTC+1000), 6200487.5, 627786.83, 39.72, 0.02
16/9/2024 5:32:52 pm (UTC+1000), 6200488.62, 627787.55, 39.7, 0.02
16/9/2024 5:32:53 pm (UTC+1000), 6200489.69, 627788.28, 39.75, 0.02
16/9/2024 5:32:54 pm (UTC+1000), 6200490.81, 627788.96, 39.73, 0.02
16/9/2024 5:32:55 pm (UTC+1000), 6200491.94, 627789.61, 39.71, 0.02
16/9/2024 5:32:56 pm (UTC+1000), 6200493, 627790.29, 39.74, 0.02
16/9/2024 5:32:57 pm (UTC+1000), 6200494.08, 627790.98, 39.7, 0.02
16/9/2024 5:32:58 pm (UTC+1000), 6200495.1, 627791.7, 39.73, 0.02
16/9/2024 5:32:59 pm (UTC+1000), 6200496.08, 627792.45, 39.73, 0.02
16/9/2024 5:33:00 pm (UTC+1000), 6200497.09, 627793.14, 39.69, 0.02
16/9/2024 5:33:01 pm (UTC+1000), 6200498.17, 627793.72, 39.76, 0.02
16/9/2024 5:33:02 pm (UTC+1000), 6200499.38, 627794, 39.73, 0.02
16/9/2024 5:33:03 pm (UTC+1000), 6200500.68, 627794.03, 39.7, 0.02
16/9/2024 5:33:04 pm (UTC+1000), 6200501.87, 627794.17, 39.79, 0.03
16/9/2024 5:33:05 pm (UTC+1000), 6200503.08, 627794.46, 39.69, 0.02
16/9/2024 5:33:06 pm (UTC+1000), 6200504.24, 627794.73, 39.68, 0.03
16/9/2024 5:33:07 pm (UTC+1000), 6200505.44, 627795.04, 39.74, 0.03
16/9/2024 5:33:08 pm (UTC+1000), 6200506.69, 627795.1, 39.74, 0.03
16/9/2024 5:33:09 pm (UTC+1000), 6200507.9, 627795.07, 39.69, 0.03
16/9/2024 5:33:10 pm (UTC+1000), 6200509.16, 627795.05, 39.68, 0.04
16/9/2024 5:33:11 pm (UTC+1000), 6200510.35, 627795.2, 39.73, 0.04
16/9/2024 5:33:12 pm (UTC+1000), 6200511.55, 627795.41, 39.68, 0.03
16/9/2024 5:33:13 pm (UTC+1000), 6200512.8, 627795.52, 39.66, 0.03
16/9/2024 5:33:14 pm (UTC+1000), 6200514.02, 627795.74, 39.7, 0.03
16/9/2024 5:33:15 pm (UTC+1000), 6200515.25, 627795.94, 39.6, 0.03
16/9/2024 5:33:16 pm (UTC+1000), 6200516.53, 627796.11, 39.68, 0.03
16/9/2024 5:33:17 pm (UTC+1000), 6200517.69, 627796.45, 39.66, 0.02
16/9/2024 5:33:18 pm (UTC+1000), 6200518.94, 627796.87, 39.65, 0.02
16/9/2024 5:33:19 pm (UTC+1000), 6200520.14, 627797.16, 39.72, 0.02
16/9/2024 5:33:20 pm (UTC+1000), 6200521.36, 627797.35, 39.66, 0.02
16/9/2024 5:33:21 pm (UTC+1000), 6200522.65, 627797.42, 39.67, 0.03
16/9/2024 5:33:22 pm (UTC+1000), 6200523.93, 627797.56, 39.71, 0.04
16/9/2024 5:33:23 pm (UTC+1000), 6200525.16, 627797.86, 39.65, 0.04
16/9/2024 5:33:24 pm (UTC+1000), 6200526.42, 627798.17, 39.76, 0.04
16/9/2024 5:33:25 pm (UTC+1000), 6200527.69, 627798.46, 39.69, 0.04
16/9/2024 5:33:26 pm (UTC+1000), 6200528.82, 627798.67, 39.78, 0.04
16/9/2024 5:33:27 pm (UTC+1000), 6200529.89, 627799.03, 39.71, 0.04
16/9/2024 5:33:28 pm (UTC+1000), 6200531, 627799.54, 39.68, 0.04
16/9/2024 5:33:29 pm (UTC+1000), 6200532.18, 627800.01, 39.78, 0.04
16/9/2024 5:33:30 pm (UTC+1000), 6200533.32, 627800.54, 39.68, 0.05
16/9/2024 5:33:31 pm (UTC+1000), 6200534.43, 627801.08, 39.74, 0.05
16/9/2024 5:33:32 pm (UTC+1000), 6200535.5, 627801.72, 39.77, 0.04
16/9/2024 5:33:33 pm (UTC+1000), 6200536.54, 627802.41, 39.76, 0.03
16/9/2024 5:33:34 pm (UTC+1000), 6200537.68, 627803.01, 39.77, 0.03
16/9/2024 5:33:35 pm (UTC+1000), 6200538.87, 627803.56, 39.75, 0.03
16/9/2024 5:33:36 pm (UTC+1000), 6200540, 627804.1, 39.82, 0.03
16/9/2024 5:33:37 pm (UTC+1000), 6200541.12, 627804.72, 39.78, 0.03
16/9/2024 5:33:38 pm (UTC+1000), 6200542.26, 627805.41, 39.82, 0.03
16/9/2024 5:33:39 pm (UTC+1000), 6200543.34, 627806.2, 39.86, 0.03
16/9/2024 5:33:40 pm (UTC+1000), 6200544.4, 627806.97, 39.78, 0.02
16/9/2024 5:33:41 pm (UTC+1000), 6200545.48, 627807.7, 39.84, 0.02
16/9/2024 5:33:42 pm (UTC+1000), 6200546.56, 627808.5, 39.84, 0.02
16/9/2024 5:33:43 pm (UTC+1000), 6200547.66, 627809.31, 39.79, 0.02
16/9/2024 5:33:44 pm (UTC+1000), 6200548.72, 627810.1, 39.89, 0.02
16/9/2024 5:33:45 pm (UTC+1000), 6200549.79, 627810.86, 39.87, 0.02
16/9/2024 5:33:46 pm (UTC+1000), 6200550.89, 627811.66, 39.85, 0.02
16/9/2024 5:33:47 pm (UTC+1000), 6200551.99, 627812.38, 39.91, 0.02
16/9/2024 5:33:48 pm (UTC+1000), 6200553.12, 627813.12, 39.9, 0.02
16/9/2024 5:33:49 pm (UTC+1000), 6200554.23, 627813.9, 39.86, 0.02
16/9/2024 5:33:50 pm (UTC+1000), 6200555.26, 627814.68, 39.9, 0.02
16/9/2024 5:33:51 pm (UTC+1000), 6200556.27, 627815.48, 39.86, 0.02
16/9/2024 5:33:52 pm (UTC+1000), 6200557.35, 627816.23, 39.89, 0.02
16/9/2024 5:33:53 pm (UTC+1000), 6200558.42, 627817.01, 39.89, 0.02
16/9/2024 5:33:54 pm (UTC+1000), 6200559.44, 627817.79, 39.85, 0.02
16/9/2024 5:33:55 pm (UTC+1000), 6200560.47, 627818.59, 39.9, 0.02
16/9/2024 5:33:56 pm (UTC+1000), 6200561.53, 627819.37, 39.86, 0.02
16/9/2024 5:33:57 pm (UTC+1000), 6200562.59, 627820.12, 39.82, 0.02
16/9/2024 5:33:58 pm (UTC+1000), 6200563.65, 627820.97, 39.85, 0.02
16/9/2024 5:33:59 pm (UTC+1000), 6200564.59, 627821.84, 39.79, 0.02
16/9/2024 5:34:00 pm (UTC+1000), 6200565.55, 627822.79, 39.8, 0.02
16/9/2024 5:34:01 pm (UTC+1000), 6200566.53, 627823.68, 39.83, 0.02
16/9/2024 5:34:02 pm (UTC+1000), 6200567.38, 627824.65, 39.71, 0.02
16/9/2024 5:34:03 pm (UTC+1000), 6200568.24, 627825.57, 39.76, 0.02
16/9/2024 5:34:04 pm (UTC+1000), 6200569.1, 627826.5, 39.78, 0.02
16/9/2024 5:34:05 pm (UTC+1000), 6200569.88, 627827.46, 39.75, 0.02
16/9/2024 5:34:06 pm (UTC+1000), 6200570.71, 627828.27, 39.76, 0.02
16/9/2024 5:34:07 pm (UTC+1000), 6200571.6, 627828.95, 39.67, 0.02
16/9/2024 5:34:08 pm (UTC+1000), 6200572.42, 627829.63, 39.74, 0.02
16/9/2024 5:34:09 pm (UTC+1000), 6200573.29, 627830.34, 39.71, 0.03
16/9/2024 5:34:10 pm (UTC+1000), 6200574.14, 627830.93, 39.73, 0.03
16/9/2024 5:34:11 pm (UTC+1000), 6200574.96, 627831.44, 39.74, 0.03
16/9/2024 5:34:12 pm (UTC+1000), 6200575.72, 627832.14, 39.67, 0.03
16/9/2024 5:34:13 pm (UTC+1000), 6200576.58, 627832.62, 39.66, 0.03
16/9/2024 5:34:14 pm (UTC+1000), 6200577.44, 627833.1, 39.64, 0.03
16/9/2024 5:34:15 pm (UTC+1000), 6200578.29, 627833.79, 39.62, 0.03
16/9/2024 5:34:16 pm (UTC+1000), 6200579.18, 627834.38, 39.64, 0.03
16/9/2024 5:34:17 pm (UTC+1000), 6200580.05, 627835, 39.62, 0.02
16/9/2024 5:34:18 pm (UTC+1000), 6200580.86, 627835.62, 39.63, 0.02
16/9/2024 5:34:19 pm (UTC+1000), 6200581.85, 627836.13, 39.63, 0.02
16/9/2024 5:34:20 pm (UTC+1000), 6200582.79, 627836.58, 39.63, 0.02
16/9/2024 5:34:21 pm (UTC+1000), 6200583.65, 627837.13, 39.57, 0.02
16/9/2024 5:34:22 pm (UTC+1000), 6200584.39, 627837.84, 39.57, 0.02
16/9/2024 5:34:23 pm (UTC+1000), 6200585.23, 627838.46, 39.58, 0.02
16/9/2024 5:34:24 pm (UTC+1000), 6200586.04, 627838.92, 39.6, 0.02
16/9/2024 5:34:25 pm (UTC+1000), 6200586.89, 627839.56, 39.54, 0.02
16/9/2024 5:34:26 pm (UTC+1000), 6200587.7, 627840.38, 39.57, 0.02
16/9/2024 5:34:27 pm (UTC+1000), 6200588.46, 627841.26, 39.53, 0.02
16/9/2024 5:34:28 pm (UTC+1000), 6200589.15, 627842.17, 39.54, 0.02
16/9/2024 5:34:29 pm (UTC+1000), 6200589.75, 627843.02, 39.53, 0.02
16/9/2024 5:34:30 pm (UTC+1000), 6200590.36, 627843.82, 39.57, 0.02
16/9/2024 5:34:31 pm (UTC+1000), 6200591.09, 627844.59, 39.54, 0.01
16/9/2024 5:34:32 pm (UTC+1000), 6200591.87, 627845.32, 39.56, 0.02
16/9/2024 5:34:33 pm (UTC+1000), 6200592.75, 627846.06, 39.5, 0.02
16/9/2024 5:34:34 pm (UTC+1000), 6200593.77, 627846.75, 39.54, 0.02
16/9/2024 5:34:35 pm (UTC+1000), 6200594.79, 627847.44, 39.51, 0.02
16/9/2024 5:34:36 pm (UTC+1000), 6200595.85, 627848.16, 39.47, 0.02
16/9/2024 5:34:37 pm (UTC+1000), 6200596.83, 627849, 39.51, 0.01
16/9/2024 5:34:38 pm (UTC+1000), 6200597.77, 627849.92, 39.5, 0.02
16/9/2024 5:34:39 pm (UTC+1000), 6200598.67, 627850.94, 39.5, 0.02
16/9/2024 5:34:40 pm (UTC+1000), 6200599.5, 627851.95, 39.57, 0.02
16/9/2024 5:34:41 pm (UTC+1000), 6200600.41, 627852.9, 39.5, 0.01
16/9/2024 5:34:42 pm (UTC+1000), 6200601.47, 627853.69, 39.55, 0.02
16/9/2024 5:34:43 pm (UTC+1000), 6200602.54, 627854.5, 39.53, 0.02
16/9/2024 5:34:44 pm (UTC+1000), 6200603.6, 627855.36, 39.51, 0.02
16/9/2024 5:34:45 pm (UTC+1000), 6200604.6, 627856.17, 39.59, 0.02
16/9/2024 5:34:46 pm (UTC+1000), 6200605.65, 627856.95, 39.53, 0.02
16/9/2024 5:34:47 pm (UTC+1000), 6200606.62, 627857.83, 39.56, 0.02
16/9/2024 5:34:48 pm (UTC+1000), 6200607.46, 627858.82, 39.6, 0.02
16/9/2024 5:34:49 pm (UTC+1000), 6200608.34, 627859.83, 39.54, 0.02
16/9/2024 5:34:50 pm (UTC+1000), 6200609.14, 627860.88, 39.58, 0.02
16/9/2024 5:34:51 pm (UTC+1000), 6200609.85, 627861.92, 39.6, 0.02
16/9/2024 5:34:52 pm (UTC+1000), 6200610.59, 627863, 39.57, 0.02
16/9/2024 5:34:53 pm (UTC+1000), 6200611.36, 627864.01, 39.65, 0.02
16/9/2024 5:34:54 pm (UTC+1000), 6200612.23, 627864.9, 39.56, 0.02
16/9/2024 5:34:55 pm (UTC+1000), 6200613.28, 627865.7, 39.58, 0.02
16/9/2024 5:34:56 pm (UTC+1000), 6200614.48, 627866.28, 39.6, 0.02
16/9/2024 5:34:57 pm (UTC+1000), 6200615.7, 627866.88, 39.52, 0.02
16/9/2024 5:34:58 pm (UTC+1000), 6200616.95, 627867.35, 39.51, 0.02
16/9/2024 5:34:59 pm (UTC+1000), 6200618.15, 627867.82, 39.54, 0.02
16/9/2024 5:35:00 pm (UTC+1000), 6200619.33, 627868.4, 39.56, 0.02
16/9/2024 5:35:01 pm (UTC+1000), 6200620.42, 627869.13, 39.59, 0.02
16/9/2024 5:35:02 pm (UTC+1000), 6200621.55, 627869.88, 39.61, 0.02
16/9/2024 5:35:03 pm (UTC+1000), 6200622.69, 627870.61, 39.56, 0.02
16/9/2024 5:35:04 pm (UTC+1000), 6200623.88, 627871.24, 39.59, 0.02
16/9/2024 5:35:05 pm (UTC+1000), 6200625.04, 627871.85, 39.61, 0.02
16/9/2024 5:35:06 pm (UTC+1000), 6200626.24, 627872.41, 39.56, 0.02
16/9/2024 5:35:07 pm (UTC+1000), 6200627.44, 627872.94, 39.63, 0.02
16/9/2024 5:35:08 pm (UTC+1000), 6200628.66, 627873.44, 39.6, 0.02
16/9/2024 5:35:09 pm (UTC+1000), 6200629.85, 627873.97, 39.57, 0.02
16/9/2024 5:35:10 pm (UTC+1000), 6200630.94, 627874.62, 39.65, 0.02
16/9/2024 5:35:11 pm (UTC+1000), 6200632, 627875.34, 39.59, 0.02
16/9/2024 5:35:12 pm (UTC+1000), 6200633.06, 627876.17, 39.68, 0.02
16/9/2024 5:35:13 pm (UTC+1000), 6200634.13, 627876.95, 39.7, 0.03
16/9/2024 5:35:14 pm (UTC+1000), 6200635.22, 627877.7, 39.61, 0.02
16/9/2024 5:35:15 pm (UTC+1000), 6200636.26, 627878.48, 39.68, 0.04
16/9/2024 5:35:16 pm (UTC+1000), 6200637.31, 627879.32, 39.66, 0.03
16/9/2024 5:35:17 pm (UTC+1000), 6200638.27, 627880.15, 39.66, 0.03
16/9/2024 5:35:18 pm (UTC+1000), 6200639.3, 627880.83, 39.6, 0.03
16/9/2024 5:35:19 pm (UTC+1000), 6200640.35, 627881.53, 39.55, 0.03
16/9/2024 5:35:20 pm (UTC+1000), 6200641.42, 627882.2, 39.65, 0.03
16/9/2024 5:35:21 pm (UTC+1000), 6200642.58, 627882.77, 39.67, 0.03
16/9/2024 5:35:22 pm (UTC+1000), 6200643.77, 627883.22, 39.67, 0.02
16/9/2024 5:35:23 pm (UTC+1000), 6200644.99, 627883.63, 39.71, 0.02
16/9/2024 5:35:24 pm (UTC+1000), 6200646.2, 627884.06, 39.66, 0.02
16/9/2024 5:35:25 pm (UTC+1000), 6200647.43, 627884.47, 39.67, 0.02
16/9/2024 5:35:26 pm (UTC+1000), 6200648.61, 627884.86, 39.68, 0.02
16/9/2024 5:35:27 pm (UTC+1000), 6200649.81, 627885.26, 39.62, 0.02
16/9/2024 5:35:28 pm (UTC+1000), 6200651.01, 627885.63, 39.69, 0.02
16/9/2024 5:35:29 pm (UTC+1000), 6200652.25, 627885.94, 39.63, 0.01
16/9/2024 5:35:30 pm (UTC+1000), 6200653.55, 627886.27, 39.61, 0.02
16/9/2024 5:35:31 pm (UTC+1000), 6200654.85, 627886.55, 39.68, 0.02
16/9/2024 5:35:32 pm (UTC+1000), 6200656.11, 627886.93, 39.65, 0.02
16/9/2024 5:35:33 pm (UTC+1000), 6200657.31, 627887.42, 39.61, 0.02
16/9/2024 5:35:34 pm (UTC+1000), 6200658.53, 627887.8, 39.64, 0.02
16/9/2024 5:35:35 pm (UTC+1000), 6200659.8, 627888.18, 39.56, 0.02
16/9/2024 5:35:36 pm (UTC+1000), 6200661.07, 627888.61, 39.61, 0.02
16/9/2024 5:35:37 pm (UTC+1000), 6200662.29, 627889.05, 39.6, 0.02
16/9/2024 5:35:38 pm (UTC+1000), 6200663.53, 627889.52, 39.5, 0.02
16/9/2024 5:35:39 pm (UTC+1000), 6200664.71, 627889.99, 39.57, 0.02
16/9/2024 5:35:40 pm (UTC+1000), 6200665.94, 627890.45, 39.55, 0.02
16/9/2024 5:35:41 pm (UTC+1000), 6200667.16, 627890.98, 39.5, 0.02
16/9/2024 5:35:42 pm (UTC+1000), 6200668.39, 627891.4, 39.54, 0.02
16/9/2024 5:35:43 pm (UTC+1000), 6200669.57, 627891.85, 39.49, 0.02
16/9/2024 5:35:44 pm (UTC+1000), 6200670.78, 627892.36, 39.49, 0.02
16/9/2024 5:35:45 pm (UTC+1000), 6200671.97, 627892.85, 39.49, 0.02
16/9/2024 5:35:46 pm (UTC+1000), 6200673.18, 627893.32, 39.4, 0.03
16/9/2024 5:35:47 pm (UTC+1000), 6200674.4, 627893.7, 39.47, 0.02
16/9/2024 5:35:48 pm (UTC+1000), 6200675.53, 627894.18, 39.42, 0.03
16/9/2024 5:35:49 pm (UTC+1000), 6200676.55, 627894.82, 39.37, 0.04
16/9/2024 5:35:50 pm (UTC+1000), 6200677.61, 627895.36, 39.52, 0.04
16/9/2024 5:35:51 pm (UTC+1000), 6200678.71, 627895.92, 39.35, 0.04
16/9/2024 5:35:52 pm (UTC+1000), 6200679.91, 627896.25, 39.43, 0.04
16/9/2024 5:35:53 pm (UTC+1000), 6200681.06, 627896.63, 39.42, 0.04
16/9/2024 5:35:54 pm (UTC+1000), 6200682.07, 627897.12, 39.45, 0.04
16/9/2024 5:35:55 pm (UTC+1000), 6200683.07, 627897.67, 39.35, 0.04
16/9/2024 5:35:56 pm (UTC+1000), 6200684.09, 627898.23, 39.26, 0.04
16/9/2024 5:35:57 pm (UTC+1000), 6200685.15, 627898.73, 39.18, 0.04
16/9/2024 5:35:58 pm (UTC+1000), 6200686.1, 627899.37, 39.33, 0.04
16/9/2024 5:35:59 pm (UTC+1000), 6200686.97, 627900.12, 39.32, 0.04
16/9/2024 5:36:00 pm (UTC+1000), 6200687.92, 627900.79, 39.33, 0.03
16/9/2024 5:36:01 pm (UTC+1000), 6200688.84, 627901.44, 39.39, 0.04
16/9/2024 5:36:02 pm (UTC+1000), 6200689.9, 627902.02, 39.33, 0.04
16/9/2024 5:36:03 pm (UTC+1000), 6200690.91, 627902.5, 39.31, 0.03
16/9/2024 5:36:04 pm (UTC+1000), 6200691.84, 627902.84, 39.32, 0.03
16/9/2024 5:36:05 pm (UTC+1000), 6200692.92, 627903.11, 39.29, 0.03
16/9/2024 5:36:06 pm (UTC+1000), 6200693.97, 627903.36, 39.29, 0.03
16/9/2024 5:36:07 pm (UTC+1000), 6200695.04, 627903.6, 39.26, 0.03
16/9/2024 5:36:08 pm (UTC+1000), 6200696.16, 627903.94, 39.3, 0.03
16/9/2024 5:36:09 pm (UTC+1000), 6200697.3, 627904.31, 39.23, 0.03
16/9/2024 5:36:10 pm (UTC+1000), 6200698.5, 627904.64, 39.21, 0.02
16/9/2024 5:36:11 pm (UTC+1000), 6200699.66, 627905.01, 39.18, 0.03
16/9/2024 5:36:12 pm (UTC+1000), 6200700.8, 627905.41, 39.21, 0.02
16/9/2024 5:36:13 pm (UTC+1000), 6200701.95, 627905.9, 39.25, 0.03
16/9/2024 5:36:14 pm (UTC+1000), 6200703.14, 627906.36, 39.18, 0.02
16/9/2024 5:36:15 pm (UTC+1000), 6200704.34, 627906.73, 39.21, 0.02
16/9/2024 5:36:16 pm (UTC+1000), 6200705.52, 627907.2, 39.17, 0.02
16/9/2024 5:36:17 pm (UTC+1000), 6200706.68, 627907.79, 39.18, 0.02
16/9/2024 5:36:18 pm (UTC+1000), 6200707.72, 627908.34, 39.22, 0.03
16/9/2024 5:36:19 pm (UTC+1000), 6200708.77, 627908.85, 39.13, 0.03
16/9/2024 5:36:20 pm (UTC+1000), 6200709.9, 627909.43, 39.19, 0.03
16/9/2024 5:36:21 pm (UTC+1000), 6200711.03, 627909.9, 39.21, 0.03
16/9/2024 5:36:22 pm (UTC+1000), 6200712.13, 627910.43, 39.13, 0.03
16/9/2024 5:36:23 pm (UTC+1000), 6200713.23, 627910.9, 39.2, 0.03
16/9/2024 5:36:24 pm (UTC+1000), 6200714.41, 627911.3, 39.11, 0.03
16/9/2024 5:36:25 pm (UTC+1000), 6200715.54, 627911.81, 39.2, 0.03
16/9/2024 5:36:26 pm (UTC+1000), 6200716.48, 627912.39, 39.15, 0.03
16/9/2024 5:36:27 pm (UTC+1000), 6200717.32, 627913.08, 39.2, 0.04
16/9/2024 5:36:28 pm (UTC+1000), 6200718.21, 627913.88, 39.15, 0.03
16/9/2024 5:36:29 pm (UTC+1000), 6200719.11, 627914.6, 39.17, 0.03
16/9/2024 5:36:30 pm (UTC+1000), 6200720.11, 627915.18, 39.05, 0.04
16/9/2024 5:36:31 pm (UTC+1000), 6200721.21, 627915.58, 39.26, 0.05
16/9/2024 5:36:32 pm (UTC+1000), 6200722.35, 627915.94, 39.35, 0.05
16/9/2024 5:36:33 pm (UTC+1000), 6200723.57, 627916.21, 39.2, 0.05
16/9/2024 5:36:34 pm (UTC+1000), 6200724.81, 627916.37, 39.15, 0.05
16/9/2024 5:36:35 pm (UTC+1000), 6200726.06, 627916.59, 39.12, 0.05
16/9/2024 5:36:36 pm (UTC+1000), 6200727.33, 627916.7, 39.17, 0.04
16/9/2024 5:36:37 pm (UTC+1000), 6200728.6, 627916.83, 39.14, 0.04
16/9/2024 5:36:38 pm (UTC+1000), 6200729.89, 627916.95, 39.18, 0.03
16/9/2024 5:36:39 pm (UTC+1000), 6200731.19, 627916.9, 39.26, 0.02
16/9/2024 5:36:40 pm (UTC+1000), 6200732.49, 627916.93, 39.16, 0.03
16/9/2024 5:36:41 pm (UTC+1000), 6200733.75, 627916.88, 39.21, 0.04
16/9/2024 5:36:42 pm (UTC+1000), 6200735, 627916.79, 39.18, 0.04
16/9/2024 5:36:43 pm (UTC+1000), 6200736.17, 627916.96, 39.2, 0.04
16/9/2024 5:36:44 pm (UTC+1000), 6200737.31, 627917.48, 39.32, 0.04
16/9/2024 5:36:45 pm (UTC+1000), 6200738.38, 627918.08, 39.23, 0.04
16/9/2024 5:36:46 pm (UTC+1000), 6200739.34, 627918.77, 39.27, 0.04
16/9/2024 5:36:47 pm (UTC+1000), 6200740.28, 627919.53, 39.12, 0.04
16/9/2024 5:36:48 pm (UTC+1000), 6200741.19, 627920.35, 39.16, 0.03
16/9/2024 5:36:49 pm (UTC+1000), 6200742.16, 627921.03, 39.3, 0.03
16/9/2024 5:36:50 pm (UTC+1000), 6200743.18, 627921.5, 39.38, 0.06
16/9/2024 5:36:51 pm (UTC+1000), 6200744.3, 627922.12, 39.33, 0.07
16/9/2024 5:36:52 pm (UTC+1000), 6200745.32, 627922.81, 39.29, 0.07
16/9/2024 5:36:53 pm (UTC+1000), 6200746.36, 627923.36, 39.5, 0.07
16/9/2024 5:36:54 pm (UTC+1000), 6200747.51, 627923.61, 39.31, 0.10
16/9/2024 5:36:55 pm (UTC+1000), 6200748.71, 627923.9, 39.23, 0.10
16/9/2024 5:36:56 pm (UTC+1000), 6200749.85, 627924.17, 39.33, 0.08
16/9/2024 5:36:57 pm (UTC+1000), 6200750.94, 627924.42, 39.41, 0.07
16/9/2024 5:36:58 pm (UTC+1000), 6200752.16, 627924.53, 39.09, 0.07
16/9/2024 5:36:59 pm (UTC+1000), 6200753.35, 627924.72, 39.12, 0.07
16/9/2024 5:37:00 pm (UTC+1000), 6200754.6, 627925.09, 39.21, 0.04
16/9/2024 5:37:01 pm (UTC+1000), 6200755.81, 627925.44, 39.21, 0.04
16/9/2024 5:37:02 pm (UTC+1000), 6200757.04, 627925.8, 39.2, 0.03
16/9/2024 5:37:03 pm (UTC+1000), 6200758.23, 627926.1, 39.12, 0.03
16/9/2024 5:37:04 pm (UTC+1000), 6200759.46, 627926.51, 39.19, 0.02
16/9/2024 5:37:05 pm (UTC+1000), 6200760.68, 627926.87, 39.17, 0.02
16/9/2024 5:37:06 pm (UTC+1000), 6200761.92, 627927.23, 39.23, 0.02
16/9/2024 5:37:07 pm (UTC+1000), 6200763.17, 627927.6, 39.25, 0.02
16/9/2024 5:37:08 pm (UTC+1000), 6200764.38, 627927.94, 39.2, 0.02
16/9/2024 5:37:09 pm (UTC+1000), 6200765.58, 627928.21, 39.28, 0.02
16/9/2024 5:37:10 pm (UTC+1000), 6200766.77, 627928.64, 39.26, 0.02
16/9/2024 5:37:11 pm (UTC+1000), 6200767.86, 627929.12, 39.28, 0.02
16/9/2024 5:37:12 pm (UTC+1000), 6200769.01, 627929.51, 39.32, 0.02
16/9/2024 5:37:13 pm (UTC+1000), 6200770.16, 627929.82, 39.3, 0.02
16/9/2024 5:37:14 pm (UTC+1000), 6200771.14, 627930.11, 39.28, 0.02
16/9/2024 5:37:15 pm (UTC+1000), 6200771.79, 627930.1, 39.37, 0.02
16/9/2024 5:37:16 pm (UTC+1000), 6200772.44, 627930.26, 39.37, 0.02
16/9/2024 5:37:17 pm (UTC+1000), 6200772.85, 627930.4, 39.36, 0.02
16/9/2024 5:37:40 pm (UTC+1000), 6200772.79, 627930.15, 39.37, 0.01
16/9/2024 5:37:41 pm (UTC+1000), 6200772.37, 627929.83, 39.36, 0.01
16/9/2024 5:37:42 pm (UTC+1000), 6200772.01, 627929.84, 39.36, 0.01
16/9/2024 5:37:46 pm (UTC+1000), 6200771.71, 627929.81, 39.36, 0.02
16/9/2024 5:37:47 pm (UTC+1000), 6200771.25, 627929.42, 39.36, 0.01
16/9/2024 5:37:48 pm (UTC+1000), 6200770.45, 627929.25, 39.34, 0.01
16/9/2024 5:37:49 pm (UTC+1000), 6200769.58, 627928.9, 39.27, 0.02
16/9/2024 5:37:50 pm (UTC+1000), 6200768.78, 627928.54, 39.31, 0.02
16/9/2024 5:37:51 pm (UTC+1000), 6200768.07, 627928.44, 39.25, 0.02
16/9/2024 5:37:52 pm (UTC+1000), 6200767.56, 627928.61, 39.31, 0.02
16/9/2024 5:38:35 pm (UTC+1000), 6200767.65, 627928.27, 39.31, 0.01
16/9/2024 5:39:09 pm (UTC+1000), 6200767.92, 627928.6, 39.33, 0.01
16/9/2024 5:39:11 pm (UTC+1000), 6200767.93, 627928.18, 39.32, 0.01
16/9/2024 5:39:12 pm (UTC+1000), 6200767.5, 627927.81, 39.33, 0.02
16/9/2024 5:39:13 pm (UTC+1000), 6200767.27, 627927.18, 39.27, 0.02
16/9/2024 5:39:14 pm (UTC+1000), 6200766.96, 627926.56, 39.29, 0.02
16/9/2024 5:39:15 pm (UTC+1000), 6200766.66, 627925.95, 39.3, 0.02
16/9/2024 5:39:16 pm (UTC+1000), 6200766.5, 627925.39, 39.27, 0.02
16/9/2024 5:39:17 pm (UTC+1000), 6200766.44, 627924.96, 39.24, 0.02
16/9/2024 5:39:18 pm (UTC+1000), 6200766.44, 627924.56, 39.26, 0.02
16/9/2024 5:40:34 pm (UTC+1000), 6200766.27, 627924.36, 39.24, 0.01
16/9/2024 5:41:55 pm (UTC+1000), 6200766.57, 627924.31, 39.22, 0.01
16/9/2024 5:42:08 pm (UTC+1000), 6200766.23, 627924.47, 39.23, 0.01
16/9/2024 5:42:09 pm (UTC+1000), 6200766.59, 627924.44, 39.27, 0.02
16/9/2024 5:42:10 pm (UTC+1000), 6200766.92, 627924.93, 39.25, 0.01
16/9/2024 5:42:11 pm (UTC+1000), 6200767.19, 627925.94, 39.28, 0.02
16/9/2024 5:42:12 pm (UTC+1000), 6200767.38, 627926.99, 39.3, 0.02
16/9/2024 5:42:13 pm (UTC+1000), 6200767.43, 627928.05, 39.26, 0.02
16/9/2024 5:42:14 pm (UTC+1000), 6200767.34, 627928.9, 39.29, 0.02
16/9/2024 5:42:15 pm (UTC+1000), 6200767.33, 627929.66, 39.32, 0.02
16/9/2024 5:42:16 pm (UTC+1000), 6200767.11, 627930.07, 39.28, 0.02
16/9/2024 5:42:21 pm (UTC+1000), 6200767.28, 627929.82, 39.31, 0.02
16/9/2024 5:42:23 pm (UTC+1000), 6200767.53, 627929.49, 39.33, 0.01
16/9/2024 5:43:16 pm (UTC+1000), 6200767.77, 627929.37, 39.3, 0.01
